,price,type,address,url,agent_url,postcode,number_bedrooms,search_date
274,240000.0,2 bedroom flat for sale,"1 Jordan Street, Knott Mill, Manchester, Greater Manchester, M15",http://www.rightmove.co.uk/property-for-sale/property-66950992.html,http://www.rightmove.co.uk/estate-agents/agent/Bridgfords/Manchester-102.html,M15,2,2019-02-12 13:46:51.052714
275,236740.0,1 bedroom apartment for sale,"Store Street,
Manchester,
M1",http://www.rightmove.co.uk/property-for-sale/property-77831576.html,http://www.rightmove.co.uk/developer/branch/Alliance-Investments/Oxygen-160442.html,M1,1,2019-02-12 13:46:51.052714
276,240000.0,2 bedroom apartment for sale,"Milliners Wharf, 2 Munday Street, Manchester, M4 7BB",http://www.rightmove.co.uk/property-for-sale/property-77045312.html,http://www.rightmove.co.uk/estate-agents/agent/Hunters/Manchester-12293.html,M4,2,2019-02-12 13:46:51.052714
277,240000.0,2 bedroom apartment for sale,"The Works, Manchester",http://www.rightmove.co.uk/property-for-sale/property-73331405.html,http://www.rightmove.co.uk/estate-agents/agent/Belvoir/Manchester-Central-17028.html,,2,2019-02-12 13:46:51.052714
278,240000.0,2 bedroom flat for sale,"Naples Street, Millennium Quarter / Northern, Manchester, Greater Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-55380930.html,http://www.rightmove.co.uk/estate-agents/agent/Bridgfords/Manchester-102.html,M4,2,2019-02-12 13:46:51.052714
279,240000.0,2 bedroom flat for sale,"2 Munday Street, Manchester, M4",http://www.rightmove.co.uk/property-for-sale/property-74809142.html,http://www.rightmove.co.uk/estate-agents/agent/Purplebricks/covering-Manchester-65289.html,M4,2,2019-02-12 13:46:51.052714
280,240000.0,2 bedroom apartment for sale,"Deansgate, Manchester",http://www.rightmove.co.uk/property-for-sale/property-78061544.html,http://www.rightmove.co.uk/estate-agents/agent/Ascend/Manchester-90769.html,,2,2019-02-12 13:46:51.052714
281,240000.0,1 bedroom apartment for sale,"Leftbank, Manchester",http://www.rightmove.co.uk/property-for-sale/property-64852393.html,http://www.rightmove.co.uk/estate-agents/agent/Philip-James-Manchester/Sales-69586.html,,1,2019-02-12 13:46:51.052714
282,240000.0,1 bedroom apartment for sale,"CLOWES STREET, Salford, M3",http://www.rightmove.co.uk/property-for-sale/property-48873215.html,http://www.rightmove.co.uk/estate-agents/agent/Portfolio/Manchester-15440.html,M3,1,2019-02-12 13:46:51.052714
283,240000.0,2 bedroom flat for sale,"1 Jordan Street, Knott Mill, Manchester, Greater Manchester, M15",http://www.rightmove.co.uk/property-for-sale/property-66950992.html,http://www.rightmove.co.uk/estate-agents/agent/Bridgfords/Manchester-102.html,M15,2,2019-02-12 13:46:51.052714
284,240000.0,1 bedroom apartment for sale,"The Quadrangle, Lower Ormond Street, Southern Gateway, Manchester, M1",http://www.rightmove.co.uk/property-for-sale/property-77705609.html,http://www.rightmove.co.uk/estate-agents/agent/Thornley-Groves/Manchester-Southern-Gateway-12532.html,M1,1,2019-02-12 13:46:51.052714
285,240000.0,2 bedroom flat for sale,"Potato Wharf, Castle, Manchester, Greater Manchester, M3",http://www.rightmove.co.uk/property-for-sale/property-68137300.html,http://www.rightmove.co.uk/estate-agents/agent/Bridgfords/Manchester-102.html,M3,2,2019-02-12 13:46:51.052714
